fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,ph,sulphates,alcohol,predicted_quality
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5.89115163264761
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,5.80648064211328
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5.28438888561644
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5.29320570792674
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6.43501248308068
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,5.61888216110487
8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,5.23900927703664
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5.80185069761947
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5.07466247321987
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5.20696395435667
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,6.10725366498461
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,5.4780016414486
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,5.66963716576212
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5.93864603751597
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,5.70411979077848
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5.20305289141088
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5.60401043753354
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,5.9291284605668
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,5.27490429619772
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5.11117506099304
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,4.79491259623
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5.11867642389534
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6.49644015257693
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,5.74762487143019
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5.22428953948573
7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,5.5360018878204
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5.20088989137661
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.20335018130219
6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5.24072970274081
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,5.43455247122008
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5.18876469905628
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,6.9506916248856
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,5.0558835851111
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5.24936483918184
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6.10766451856821
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6.15803010970683
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5.4531023553983
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,6.52985460670119
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5.14391219369559
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,5.60952958831336
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6.36382431226809
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,5.49143824691016
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5.08372864853265
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,6.44901879997604
8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,5.62823195601552
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5.56019487868491
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.23333333333333,4.87982181142683
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6.34825169012418
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5.40832493054763
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,5.30212326391459
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5.16822753062556
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,5.43855394025294
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,6.54644718110477
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,5.96454017214137
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5.62497804133037
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,5.17854655230709
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,5.37230514080851
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5.63043411363814
7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,5.85494677129435
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5.32861005937843
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5.07156363043967
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,6.20402636260088
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6.80838646325121
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5.62497804133037
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,6.41789586741663
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5.02369333602824
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,6.34818118376346
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,5.75176947344708
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6.10965330916989
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,5.63301815699123
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,5.21978216730168
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5.7015635166043
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,5.7112862757093
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,4.87760254637577
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5.51096342897173
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,5.78371391758992
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5.68900459369937
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5.61845748656617
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6.19727908394043
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,5.76348722644946
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,6.1663734441235
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.63440791734898
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6.21647940223032
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,5.67405542536208
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,5.6034816613039
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5.51662425262409
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,4.66790166070443
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,6.26706399864374
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5.31484491523202
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,6.70845593263907
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5.43530424738803
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4.99034629606041
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,5.37062711271623
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,6.28450495307803
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6.01898186535878
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5.13036468652456
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,5.79899215734862
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6.06533235087481
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,6.54603522178564
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5.20418406189135
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.8849908705791
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,4.95898590858457
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6.44278538235623
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,5.61862386006847
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,5.1226520494396
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,5.45788769936716
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,6.55714690458208
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,6.26333844068834
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5.35957066380104
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,5.4506280504941
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.31319380133909
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5.03595891496077
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,5.76391938390161
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,5.34869886997336
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6.0592506253535
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,5.63965524139555
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,5.81816427452682
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,5.98528480053763
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,6.42083718119004
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,6.0201363237911
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,5.87828523143511
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5.5541531920926
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,5.57412492482443
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,5.92036274846624
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,6.16161647978461
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,5.21563156199192
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5.33023700722768
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,5.8383723232902
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6.01828407942297
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,5.80549977625614
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5.39723594482124
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5.54916999304345
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,5.10383884476307
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5.05507518668596
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,5.77699524805556
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6.65427236983718
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,5.85006649903514
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6.50115964651816
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,6.39280924149717
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5.81809420095188
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,5.0558835851111
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,5.98644842979066
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5.35738991587084
7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,6.50025345042816
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5.34526979908417
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5.62089433786478
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,4.22414342003521
7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5.35950248598293
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5.41573428408849
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,5.0558835851111
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5.08990256704607
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5.16940361813527
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,5.78084226727432
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,5.10530311228299
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5.30438882786716
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,5.78893709804019
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,5.10171587573632
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6.41482133411187
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5.2112409717104
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5.4791741661135
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5.36980621985471
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,5.89513179934443
7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,5.74852799714398
6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5.43960298940113
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6.37837398678648
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,5.40379307024121
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5.53811321560518
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5.02491976531279
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5.12416705024992
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4.95403556790235
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5.12328347967382
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4.42456971432007
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,5.58808555811983
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,5.59578261174383
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,5.82317705344482
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,5.19065743195182
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5.36239823393628
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,5.52009699561119
8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6.46184741598663
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6.23550847496675
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6.10685636462825
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5.42893280333338
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,5.95340587240079
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,6.38215317998095
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,6.23750689884801
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,6.77564900347584
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5.35288340198965
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6.13106490471734
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,6.47670848442495
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,5.50553758960088
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5.62439740816766
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,5.61888216110487
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,5.6350337780638
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5.23144737206575
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,5.69042257663515
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5.35504375495718
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,7.4794453546745
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,5.00635355699364
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5.10162739226635
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.10283911236853
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5.45064451376011
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6.6953046525612
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,5.85022188049047
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,5.31310458002379
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5.60209390288248
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6.3350913866195
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5.40466578241351
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,5.70332874365203
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5.26530366738026
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5.73085742804011
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5.80969065789756
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5.07992107660779
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,4.98213468729577
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5.2469184747428
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6.18799010819362
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5.58715066719441
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6.78979113559608
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6.55384056224664
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,5.12065497095456
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,5.70464325930955
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,5.7112862757093
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5.14110182991554
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5.13813387874627
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5.64570102428086
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,5.83487241551889
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5.22030488369699
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,6.57804941634492
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5.66927010567743
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,6.65285388727367
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,5.4780016414486
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6.51176651528865
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,5.88123406408777
9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,5.05164570552294
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,5.89513179934443
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,6.31524632453497
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,5.45422422746457
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,5.75878411701411
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6.36819685872725
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5.05794127934655
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5.02397860855071
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,5.81713693833031
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5.3622460113382
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,4.87324443075091
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6.36556578982328
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5.80185069761947
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,6.38549759913626
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,5.88437249502725
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,5.61143269938785
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,4.64064288777867
8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5.39642814157738
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5.19981576343814
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,6.4291950601702
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5.69684319551278
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6.18534798834979
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,5.75176947344708
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5.09229842806287
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,6.16561295926926
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,6.07665580266595
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5.12269685504136
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6.23217470320106
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5.62089433786478
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,5.35820206598254
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5.58171369359398
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,5.61862386006847
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,5.57925496375353
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5.36587952252231
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,5.4187606204167
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,5.6747630223428
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5.71500858582989
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5.26081413646578
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5.40466578241351
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5.17070954435949
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,6.21724718200798
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,4.92547942910771
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5.18803381741784
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.358115075382
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5.36653845962316
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,4.7252816044324
7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,4.97764364712446
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,5.64759107232899
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,5.45340095523914
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,5.71151574040587
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.65557508957223
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5.4728211907247
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5.18937653281297
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,4.98877142109523
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5.26758893796387
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6.18311727073632
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5.38459455398771
