location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,Campaign_A,probability_high_value
Washington,No,Basic,High School or Below,Employed,M,55561,Urban,Divorced,63,2,79,0,2,Personal Auto,Personal L2,Offer1,Call Center,227.872071,Four-Door Car,Medsize,1,Yes,0.9917749252855927
Nevada,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,102,18,32,5,1,Corporate Auto,Corporate L2,Offer2,Call Center,862.762957,SUV,Medsize,0,No,0.00833368946010893
Oregon,No,Basic,Bachelor,Employed,M,55308,Suburban,Divorced,107,17,74,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,513.6,SUV,Medsize,1,Yes,0.9946258664226056
Oregon,No,Extended,College,Employed,F,36068,Rural,Married,97,0,10,0,2,Personal Auto,Personal L3,Offer2,Branch,113.367765,Two-Door Car,Medsize,1,Yes,0.99597362565507
Oregon,No,Premium,Bachelor,Employed,M,48804,Suburban,Married,112,1,4,1,2,Corporate Auto,Corporate L3,Offer1,Branch,537.6,Four-Door Car,Medsize,1,Yes,0.9963276628942672
Oregon,No,Extended,College,Unemployed,M,0,Suburban,Single,131,6,52,0,6,Personal Auto,Personal L2,Offer2,Web,943.2,SUV,Small,1,Yes,0.9907094274486781
Oregon,No,Basic,Bachelor,Employed,M,55790,Rural,Single,111,4,40,0,9,Personal Auto,Personal L3,Offer3,Branch,117.672722,SUV,Medsize,1,Yes,0.9936701234158368
Arizona,No,Basic,Bachelor,Employed,F,70258,Urban,Divorced,69,20,65,0,2,Personal Auto,Personal L1,Offer1,Agent,225.14594900000003,Four-Door Car,Medsize,1,Yes,0.995824796301391
Oregon,Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L2,Offer1,Call Center,456.0,Two-Door Car,Large,1,Yes,0.9943925517093544
Oregon,No,Extended,Bachelor,Employed,F,47274,Rural,Married,83,32,26,1,5,Corporate Auto,Corporate L2,Offer1,Agent,182.432565,Four-Door Car,Medsize,1,Yes,0.994474287076578
Washington,No,Extended,College,Unemployed,F,0,Suburban,Married,78,27,10,0,8,Personal Auto,Personal L1,Offer1,Branch,644.755653,Four-Door Car,Small,1,Yes,0.982137835826186
Arizona,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,26,84,0,3,Personal Auto,Personal L3,Offer2,Call Center,525.6,Two-Door Car,Medsize,1,Yes,0.6742300427551448
Washington,No,Premium,Master,Medical Leave,F,15818,Urban,Married,107,24,99,0,2,Personal Auto,Personal L2,Offer2,Call Center,333.886816,Two-Door Car,Medsize,1,Yes,0.9960735891266392
Washington,No,Extended,College,Employed,F,44552,Rural,Married,137,7,42,0,3,Personal Auto,Personal L3,Offer1,Branch,311.103582,SUV,Medsize,1,Yes,0.9971861312805056
Oregon,No,Extended,Bachelor,Employed,F,64348,Rural,Married,86,25,18,0,1,Personal Auto,Personal L2,Offer2,Call Center,212.391975,Two-Door Car,Medsize,0,No,0.007355781515016372
Oregon,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,27,53,0,2,Corporate Auto,Corporate L3,Offer1,Branch,297.6,Two-Door Car,Medsize,1,Yes,0.9890997963067758
California,Yes,Basic,Master,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Special Auto,Special L3,Offer2,Branch,174.041566,Four-Door Car,Small,1,Yes,0.9937337259839932
Washington,No,Basic,College,Employed,F,77411,Urban,Married,67,30,63,0,1,Personal Auto,Personal L2,Offer2,Agent,257.900458,Four-Door Car,Medsize,0,No,0.006941507183852896
California,Yes,Extended,High School or Below,Retired,F,10312,Suburban,Married,78,10,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,486.278557,Four-Door Car,Large,0,No,0.007406096371311437
California,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,72,4,11,1,7,Personal Auto,Personal L2,Offer1,Branch,345.6,Four-Door Car,Medsize,1,Yes,0.8550888620397726
Arizona,No,Basic,High School or Below,Employed,F,96263,Rural,Married,103,5,5,0,1,Personal Auto,Personal L3,Offer2,Agent,1.924709,SUV,Small,0,No,0.007461447953350028
California,No,Basic,College,Employed,F,28919,Suburban,Married,72,18,11,0,1,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,Medsize,0,No,0.007170238033620187
Oregon,No,Basic,College,Unemployed,F,0,Suburban,Married,68,2,28,1,4,Personal Auto,Personal L3,Offer3,Agent,326.4,Two-Door Car,Medsize,0,No,0.2362570493684851
Oregon,No,Basic,Bachelor,Employed,M,41869,Urban,Married,64,5,52,0,6,Personal Auto,Personal L3,Offer2,Web,262.12205,Two-Door Car,Medsize,1,Yes,0.9045390297822566
Arizona,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,128,5,76,0,8,Personal Auto,Personal L2,Offer1,Agent,921.6,SUV,Medsize,1,Yes,0.992950606738203
California,No,Basic,High School or Below,Employed,F,32808,Suburban,Married,68,1,88,1,1,Personal Auto,Personal L3,Offer3,Branch,541.695658,Four-Door Car,Small,0,No,0.006780920587381534
California,No,Basic,Bachelor,Employed,F,79780,Suburban,Married,68,11,58,0,2,Personal Auto,Personal L2,Offer2,Web,326.4,Four-Door Car,Medsize,1,Yes,0.9954943931220764
Oregon,No,Basic,College,Employed,F,91025,Urban,Married,112,26,37,0,9,Personal Auto,Personal L3,Offer1,Agent,327.682669,SUV,Medsize,1,Yes,0.9953256157387372
California,No,Extended,High School or Below,Employed,F,33043,Suburban,Married,95,15,90,0,1,Personal Auto,Personal L3,Offer1,Branch,456.0,Two-Door Car,Medsize,0,No,0.008578603685416481
Arizona,No,Premium,High School or Below,Employed,M,69442,Suburban,Married,118,26,6,3,3,Personal Auto,Personal L1,Offer3,Branch,1265.570302,Four-Door Car,Small,1,Yes,0.9923791746310942
Oregon,No,Basic,College,Unemployed,M,0,Rural,Married,70,18,47,0,1,Corporate Auto,Corporate L1,Offer2,Agent,63.043197,Four-Door Car,Medsize,0,No,0.007324916904043806
Arizona,No,Basic,College,Unemployed,F,0,Suburban,Divorced,70,25,48,0,9,Corporate Auto,Corporate L1,Offer1,Agent,336.0,Four-Door Car,Small,0,No,0.24974000045524256
Oregon,No,Basic,Bachelor,Employed,F,47234,Rural,Married,65,11,34,0,1,Personal Auto,Personal L2,Offer1,Agent,15.631363,Four-Door Car,Medsize,0,No,0.009075175407965631
Oregon,No,Extended,High School or Below,Employed,M,86863,Suburban,Married,92,27,26,0,3,Personal Auto,Personal L3,Offer2,Branch,441.6,Four-Door Car,Medsize,1,Yes,0.9961737560179498
Oregon,No,Basic,Bachelor,Employed,M,25805,Suburban,Divorced,66,25,0,2,2,Personal Auto,Personal L2,Offer2,Call Center,375.866091,Four-Door Car,Medsize,1,Yes,0.9930487151911094
Nevada,No,Extended,Bachelor,Employed,M,43676,Suburban,Single,76,19,7,0,3,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,1,Yes,0.995427574646896
Arizona,No,Basic,College,Employed,M,59855,Suburban,Married,74,30,82,4,1,Personal Auto,Personal L2,Offer2,Branch,355.2,Two-Door Car,Medsize,0,No,0.007625404024116477
Arizona,No,Extended,Master,Employed,M,35296,Urban,Single,126,19,11,0,2,Personal Auto,Personal L1,Offer2,Branch,452.616872,SUV,Medsize,1,Yes,0.9972187176990396
Oregon,No,Extended,Master,Employed,F,36576,Rural,Married,125,11,73,1,3,Personal Auto,Personal L3,Offer1,Agent,113.450122,SUV,Medsize,1,Yes,0.9956914983061108
California,Yes,Basic,High School or Below,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,1,Yes,0.9955828400084878
Oregon,No,Basic,Bachelor,Employed,M,85448,Rural,Married,72,16,76,0,3,Special Auto,Special L2,Offer3,Agent,16.03451,Four-Door Car,Medsize,1,Yes,0.9934285618638448
Oregon,No,Premium,High School or Below,Employed,F,23791,Suburban,Divorced,110,11,71,3,7,Personal Auto,Personal L3,Offer1,Agent,615.27228,Two-Door Car,Medsize,1,Yes,0.9901252973634276
California,No,Premium,Bachelor,Employed,F,20597,Suburban,Married,112,31,46,0,1,Personal Auto,Personal L2,Offer2,Agent,615.256301,Four-Door Car,Medsize,0,No,0.008346220640172408
Arizona,No,Extended,College,Employed,F,56940,Suburban,Married,87,11,10,0,9,Personal Auto,Personal L3,Offer2,Web,512.66245,Four-Door Car,Small,1,Yes,0.9952820087713288
Oregon,No,Basic,Bachelor,Employed,M,93210,Rural,Married,71,35,62,0,2,Personal Auto,Personal L3,Offer4,Web,74.523935,Two-Door Car,Large,1,Yes,0.9954167173158052
Oregon,No,Extended,Bachelor,Employed,F,48992,Urban,Married,94,30,0,1,7,Personal Auto,Personal L2,Offer1,Agent,426.072946,Four-Door Car,Medsize,1,Yes,0.9950667006386564
Arizona,No,Basic,Master,Employed,F,53736,Rural,Married,71,2,20,0,2,Personal Auto,Personal L3,Offer4,Web,169.287785,Two-Door Car,Medsize,1,Yes,0.9952504646912088
Arizona,No,Basic,College,Employed,M,25378,Suburban,Married,66,22,32,1,2,Personal Auto,Personal L2,Offer1,Agent,419.464143,Four-Door Car,Medsize,1,Yes,0.9952636742415732
Oregon,Yes,Basic,Bachelor,Employed,F,76731,Urban,Married,64,2,68,0,1,Personal Auto,Personal L3,Offer2,Agent,201.455005,Four-Door Car,Medsize,0,No,0.0076783375165541045
Washington,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,64,11,85,0,1,Personal Auto,Personal L3,Offer4,Branch,662.69318,Four-Door Car,Medsize,0,No,0.005513394288290563
California,Yes,Premium,Bachelor,Employed,F,69379,Suburban,Single,103,14,79,0,1,Personal Auto,Personal L2,Offer1,Branch,494.4,Two-Door Car,Medsize,0,No,0.008612916685422039
Oregon,Yes,Premium,High School or Below,Employed,M,57449,Suburban,Single,103,6,28,0,2,Personal Auto,Personal L3,Offer1,Agent,494.4,Four-Door Car,Medsize,1,Yes,0.9963484161004948
Arizona,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,68,7,31,0,7,Corporate Auto,Corporate L1,Offer2,Web,326.4,Four-Door Car,Medsize,1,Yes,0.7374278140618236
Nevada,No,Extended,College,Unemployed,M,0,Suburban,Single,93,30,70,0,6,Personal Auto,Personal L2,Offer3,Agent,669.6,Two-Door Car,Medsize,1,Yes,0.9930739592424168
Arizona,Yes,Extended,Bachelor,Employed,F,33806,Urban,Divorced,89,32,59,0,2,Corporate Auto,Corporate L3,Offer2,Web,395.729716,Four-Door Car,Medsize,1,Yes,0.99597362565507
Washington,No,Basic,Master,Employed,M,77048,Rural,Married,103,20,41,0,1,Personal Auto,Personal L1,Offer2,Agent,141.199465,SUV,Medsize,0,No,0.007204418190983791
Oregon,No,Extended,College,Employed,F,74965,Rural,Married,90,20,93,0,2,Personal Auto,Personal L3,Offer1,Agent,58.557552,Four-Door Car,Medsize,1,Yes,0.9963484161004948
Arizona,No,Basic,High School or Below,Employed,F,34095,Suburban,Married,63,5,99,0,2,Personal Auto,Personal L3,Offer2,Web,302.4,Two-Door Car,Medsize,1,Yes,0.9925467284406004
California,Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,66,16,35,4,1,Personal Auto,Personal L3,Offer1,Branch,316.8,Four-Door Car,Small,0,No,0.006480923986550854
California,No,Basic,College,Employed,M,96045,Rural,Divorced,61,24,35,0,1,Corporate Auto,Corporate L3,Offer2,Web,8.582971,Four-Door Car,Large,0,No,0.005453309803581256
Nevada,No,Basic,Bachelor,Employed,F,86355,Rural,Married,118,27,86,0,2,Personal Auto,Personal L3,Offer1,Agent,285.418473,Sports Car,Large,1,Yes,0.9960871073725656
California,No,Basic,High School or Below,Employed,F,27824,Suburban,Married,118,32,9,0,8,Personal Auto,Personal L3,Offer3,Agent,566.4,SUV,Large,1,Yes,0.9930922424235372
California,No,Basic,High School or Below,Employed,M,42995,Urban,Married,101,10,22,0,2,Personal Auto,Personal L3,Offer3,Call Center,410.508316,SUV,Medsize,1,Yes,0.9957868308639912
Oregon,No,Extended,High School or Below,Employed,F,21235,Urban,Married,79,18,56,0,1,Personal Auto,Personal L2,Offer4,Agent,244.23135,Two-Door Car,Medsize,0,No,0.007470447494110233
California,No,Basic,High School or Below,Employed,M,74585,Rural,Married,106,1,49,0,1,Personal Auto,Personal L3,Offer2,Agent,218.598065,SUV,Medsize,0,No,0.007461447953350028
Oregon,No,Premium,Bachelor,Employed,M,41833,Suburban,Married,103,28,43,0,1,Personal Auto,Personal L3,Offer2,Branch,643.826716,Four-Door Car,Medsize,0,No,0.008614858681301511
California,No,Basic,College,Medical Leave,F,23908,Suburban,Married,70,18,57,0,4,Personal Auto,Personal L3,Offer1,Agent,336.0,Four-Door Car,Medsize,1,Yes,0.9792026347130108
Oregon,Yes,Basic,Bachelor,Unemployed,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L1,Offer2,Agent,312.0,Two-Door Car,Medsize,1,Yes,0.9905545931247364
Arizona,No,Basic,Bachelor,Employed,M,61953,Urban,Divorced,113,5,63,0,1,Personal Auto,Personal L3,Offer3,Branch,497.047297,SUV,Medsize,0,No,0.007933152058506969
California,No,Premium,Bachelor,Unemployed,M,0,Suburban,Single,142,5,87,0,1,Corporate Auto,Corporate L2,Offer4,Web,1022.4,SUV,Medsize,0,No,0.22455015005706228
Nevada,No,Extended,Bachelor,Unemployed,M,0,Suburban,Married,137,25,45,0,1,Personal Auto,Personal L2,Offer2,Branch,657.6,SUV,Small,0,No,0.3724224739162771
Arizona,No,Basic,Bachelor,Employed,F,73760,Rural,Married,107,16,3,1,2,Personal Auto,Personal L2,Offer3,Web,230.245772,Sports Car,Medsize,1,Yes,0.9950760567294918
Oregon,No,Basic,College,Employed,F,23333,Rural,Married,74,8,43,0,1,Corporate Auto,Corporate L3,Offer4,Agent,5.622751,Four-Door Car,Medsize,0,No,0.006759270834444586
California,No,Basic,College,Unemployed,M,0,Suburban,Single,61,6,30,0,1,Personal Auto,Personal L3,Offer2,Agent,292.8,Four-Door Car,Medsize,0,No,0.0052011541519004405
Arizona,No,Extended,High School or Below,Employed,F,20440,Suburban,Married,128,11,54,2,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,Medsize,1,Yes,0.9955649697171634
Washington,No,Extended,High School or Below,Employed,F,86073,Rural,Married,136,3,32,0,1,Corporate Auto,Corporate L3,Offer4,Agent,333.5671,Sports Car,Medsize,1,Yes,0.9895972074860894
California,No,Extended,College,Employed,M,50943,Suburban,Divorced,139,18,14,0,1,Special Auto,Special L2,Offer1,Branch,667.2,SUV,Medsize,1,Yes,0.9767428729116998
California,No,Basic,Bachelor,Disabled,M,19003,Rural,Married,71,29,21,0,1,Personal Auto,Personal L1,Offer3,Agent,34.651305,Two-Door Car,Medsize,0,No,0.006743673094174836
California,No,Premium,College,Employed,M,46703,Suburban,Single,108,0,48,0,6,Personal Auto,Personal L3,Offer1,Branch,678.100487,Four-Door Car,Small,1,Yes,0.9944793572467712
California,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize,1,Yes,0.9926565187218506
Oregon,No,Basic,College,Employed,M,21733,Suburban,Single,73,17,37,0,2,Corporate Auto,Corporate L2,Offer2,Web,525.6,Four-Door Car,Medsize,1,Yes,0.9939933727721486
Arizona,No,Basic,Bachelor,Medical Leave,M,20811,Suburban,Married,61,33,61,0,1,Personal Auto,Personal L2,Offer2,Agent,292.8,Four-Door Car,Medsize,0,No,0.0063097781030488145
Arizona,Yes,Basic,High School or Below,Disabled,F,11904,Suburban,Single,61,34,11,2,3,Personal Auto,Personal L3,Offer1,Web,292.8,Two-Door Car,Small,0,No,0.012299346296269551
Oregon,No,Basic,College,Employed,F,43490,Rural,Married,114,24,63,4,6,Corporate Auto,Corporate L1,Offer1,Call Center,174.588413,SUV,Medsize,1,Yes,0.9897432250693888
California,No,Basic,High School or Below,Employed,M,57340,Rural,Single,67,7,19,0,2,Corporate Auto,Corporate L3,Offer1,Agent,159.391681,Four-Door Car,Medsize,1,Yes,0.9955423864933228
California,No,Extended,College,Employed,M,49088,Suburban,Married,97,4,46,0,3,Corporate Auto,Corporate L3,Offer4,Branch,698.4,Four-Door Car,Small,1,Yes,0.9961788625648892
Nevada,No,Extended,Master,Employed,M,47761,Rural,Married,131,2,54,0,6,Personal Auto,Personal L3,Offer1,Agent,232.711071,SUV,Small,1,Yes,0.9969442300878628
Washington,No,Extended,Bachelor,Employed,M,70930,Rural,Divorced,99,2,21,0,2,Personal Auto,Personal L1,Offer1,Agent,190.43446,Four-Door Car,Medsize,1,Yes,0.9963484161004948
Arizona,No,Basic,Bachelor,Employed,M,61281,Rural,Married,110,7,16,0,7,Personal Auto,Personal L3,Offer1,Agent,79.865605,SUV,Medsize,1,Yes,0.9940070764147816
Nevada,No,Extended,Bachelor,Unemployed,M,0,Suburban,Divorced,82,4,77,1,3,Corporate Auto,Corporate L3,Offer1,Branch,393.6,Two-Door Car,Large,1,Yes,0.960932187998622
Arizona,No,Basic,Bachelor,Employed,M,25290,Suburban,Single,66,0,4,0,2,Personal Auto,Personal L1,Offer3,Call Center,382.08589700000016,Four-Door Car,Medsize,1,Yes,0.9935985349629681
Arizona,No,Extended,High School or Below,Employed,F,24239,Rural,Married,88,25,5,0,8,Personal Auto,Personal L1,Offer4,Call Center,48.348319,Four-Door Car,Medsize,1,Yes,0.9929939582340784
California,Yes,Basic,Bachelor,Employed,M,82664,Rural,Married,114,24,10,3,9,Personal Auto,Personal L1,Offer2,Agent,133.425609,SUV,Medsize,1,Yes,0.9937696207351416
Arizona,No,Basic,Bachelor,Employed,M,83210,Suburban,Divorced,110,0,25,0,3,Personal Auto,Personal L3,Offer3,Branch,528.0,Sports Car,Large,1,Yes,0.9938860476873598
Oregon,No,Extended,Bachelor,Employed,F,38736,Suburban,Divorced,81,7,35,0,2,Personal Auto,Personal L3,Offer1,Call Center,561.414794,Two-Door Car,Small,1,Yes,0.9962925950383356
California,No,Basic,College,Unemployed,M,0,Suburban,Single,66,0,10,0,9,Personal Auto,Personal L3,Offer1,Call Center,316.8,Four-Door Car,Medsize,0,No,0.02882778448923856
Oregon,No,Basic,College,Employed,M,55437,Suburban,Married,64,5,78,1,2,Personal Auto,Personal L3,Offer3,Agent,445.287788,Four-Door Car,Medsize,1,Yes,0.9920403081746882
Washington,No,Extended,College,Unemployed,F,0,Rural,Married,130,0,93,0,1,Personal Auto,Personal L3,Offer3,Branch,23.820158,SUV,Medsize,0,No,0.09408466438510896
Oregon,No,Basic,Master,Unemployed,M,0,Suburban,Married,71,33,83,0,3,Corporate Auto,Corporate L3,Offer1,Agent,407.99684,Four-Door Car,Medsize,1,Yes,0.9555703310029264
California,No,Basic,High School or Below,Employed,F,29066,Suburban,Married,100,13,51,0,3,Personal Auto,Personal L3,Offer2,Branch,844.229478,SUV,Medsize,1,Yes,0.9955250033264484
Nevada,No,Basic,Bachelor,Employed,M,54337,Suburban,Married,72,27,7,0,1,Personal Auto,Personal L2,Offer3,Web,345.6,Four-Door Car,Medsize,0,No,0.00704654896854873
Oregon,No,Extended,High School or Below,Employed,F,67616,Urban,Married,96,25,17,0,2,Personal Auto,Personal L3,Offer3,Agent,340.306584,Four-Door Car,Medsize,1,Yes,0.99597362565507
California,No,Basic,Bachelor,Employed,F,41082,Rural,Married,63,23,94,0,2,Personal Auto,Personal L2,Offer3,Web,106.647493,Two-Door Car,Medsize,1,Yes,0.9925048012335468
Washington,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,73,12,71,0,4,Personal Auto,Personal L1,Offer2,Branch,626.116259,Four-Door Car,Small,1,Yes,0.9185270647579964
Nevada,Yes,Basic,Master,Employed,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L1,Offer2,Web,56.60333000000001,Four-Door Car,Large,0,No,0.006780920587381534
Oregon,No,Basic,College,Employed,F,50631,Suburban,Married,112,19,12,4,2,Special Auto,Special L1,Offer2,Agent,784.6578099999997,SUV,Medsize,1,Yes,0.9956714701046916
California,No,Extended,College,Medical Leave,M,19592,Suburban,Divorced,92,31,63,0,2,Personal Auto,Personal L2,Offer4,Web,441.6,Four-Door Car,Medsize,1,Yes,0.9960330522270212
Washington,No,Premium,High School or Below,Unemployed,F,0,Suburban,Married,114,30,1,0,2,Personal Auto,Personal L2,Offer3,Branch,547.2,Two-Door Car,Medsize,1,Yes,0.995901060215448
Arizona,No,Basic,College,Employed,F,55761,Rural,Divorced,115,22,73,0,2,Personal Auto,Personal L3,Offer1,Branch,86.27772,Sports Car,Medsize,1,Yes,0.9956509876477462
California,Yes,Basic,College,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Special Auto,Special L2,Offer2,Call Center,398.502948,Four-Door Car,Medsize,0,No,0.00690308388472243
California,No,Extended,Bachelor,Employed,F,41449,Rural,Married,89,15,45,0,5,Personal Auto,Personal L2,Offer4,Branch,63.516572,Four-Door Car,Medsize,1,Yes,0.99491294486149
California,Yes,Premium,Bachelor,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L1,Offer1,Agent,1300.8,Luxury SUV,Medsize,1,Yes,0.9893125778238752
Nevada,No,Basic,College,Employed,F,62007,Rural,Married,73,4,7,0,3,Personal Auto,Personal L3,Offer2,Agent,120.015609,Four-Door Car,Medsize,1,Yes,0.9936103711859742
Arizona,No,Extended,High School or Below,Medical Leave,M,21921,Suburban,Married,206,14,44,0,3,Corporate Auto,Corporate L2,Offer1,Branch,1254.137899,Luxury SUV,Large,1,Yes,0.9970956213815928
Arizona,No,Basic,Bachelor,Employed,F,42621,Suburban,Married,66,8,3,0,3,Personal Auto,Personal L1,Offer2,Call Center,316.8,Four-Door Car,Medsize,1,Yes,0.9894312176492642
Oregon,No,Extended,College,Unemployed,M,0,Suburban,Divorced,87,16,41,1,2,Personal Auto,Personal L3,Offer1,Agent,417.6,Four-Door Car,Large,1,Yes,0.9957628575468128
Washington,No,Basic,High School or Below,Employed,M,63786,Urban,Single,196,30,81,0,1,Corporate Auto,Corporate L3,Offer1,Branch,798.0026889999997,Luxury SUV,Medsize,1,Yes,0.9913471444720392
California,No,Basic,High School or Below,Unemployed,F,0,Rural,Married,104,1,48,3,7,Personal Auto,Personal L3,Offer1,Branch,82.041684,Sports Car,Medsize,1,Yes,0.9753324468156253
California,No,Extended,High School or Below,Employed,F,82877,Rural,Married,99,8,89,1,3,Personal Auto,Personal L3,Offer1,Agent,22.819088,Two-Door Car,Medsize,1,Yes,0.9950423776534943
Arizona,No,Basic,College,Unemployed,M,0,Suburban,Single,63,0,75,0,1,Corporate Auto,Corporate L3,Offer2,Branch,302.4,Two-Door Car,Medsize,0,No,0.005776129898057107
Nevada,No,Extended,High School or Below,Retired,M,10475,Suburban,Married,88,13,81,1,2,Personal Auto,Personal L2,Offer1,Branch,422.4,Two-Door Car,Small,1,Yes,0.9961636054170304
Oregon,No,Basic,High School or Below,Employed,F,21952,Suburban,Married,66,20,31,0,6,Personal Auto,Personal L1,Offer4,Branch,316.8,Four-Door Car,Small,1,Yes,0.9867085268141376
Oregon,No,Extended,Bachelor,Employed,F,49721,Suburban,Married,132,18,49,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,639.9713879999998,Sports Car,Large,1,Yes,0.9973670372266268
California,Yes,Premium,College,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Medsize,1,Yes,0.9963484161004948
California,No,Basic,College,Unemployed,F,0,Suburban,Married,65,7,28,0,1,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,0,No,0.006547596313414985
Oregon,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,14,62,0,2,Corporate Auto,Corporate L2,Offer3,Branch,468.0,Four-Door Car,Medsize,1,Yes,0.9857695727087052
Washington,No,Extended,College,Retired,F,24589,Suburban,Married,82,33,39,0,2,Personal Auto,Personal L3,Offer1,Branch,511.497882,Two-Door Car,Medsize,1,Yes,0.9960898576496756
California,Yes,Premium,Bachelor,Employed,F,69379,Suburban,Single,103,14,79,0,1,Personal Auto,Personal L3,Offer1,Branch,494.4,Two-Door Car,Medsize,0,No,0.008612916685422039
Nevada,No,Basic,Bachelor,Employed,F,73769,Urban,Married,61,24,95,2,3,Personal Auto,Personal L3,Offer4,Web,239.540223,Four-Door Car,Medsize,0,No,0.0525374254472441
California,No,Basic,College,Employed,F,66670,Urban,Married,114,23,6,0,1,Personal Auto,Personal L3,Offer3,Agent,518.1803639999998,SUV,Medsize,0,No,0.007598562211443316
Arizona,No,Premium,Bachelor,Employed,M,88854,Suburban,Single,118,6,50,0,2,Personal Auto,Personal L2,Offer1,Branch,715.252366,Two-Door Car,Medsize,1,Yes,0.9963484161004948
Oregon,No,Basic,Bachelor,Employed,M,31266,Suburban,Married,193,6,79,0,1,Corporate Auto,Corporate L3,Offer4,Branch,926.4,Luxury Car,Large,1,Yes,0.9927927132471412
California,Yes,Basic,High School or Below,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal Auto,Personal L2,Offer2,Agent,156.124914,Four-Door Car,Medsize,0,No,0.007021103433790949
California,No,Extended,Bachelor,Employed,M,89284,Urban,Divorced,133,4,62,2,1,Corporate Auto,Corporate L3,Offer1,Web,402.070719,SUV,Medsize,1,Yes,0.9872876896273488
Oregon,No,Extended,College,Employed,M,67267,Rural,Single,89,31,10,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,94.814032,Four-Door Car,Medsize,1,Yes,0.99597362565507
California,No,Extended,High School or Below,Employed,F,79270,Suburban,Married,95,28,61,3,2,Personal Auto,Personal L1,Offer2,Branch,456.0,Four-Door Car,Medsize,1,Yes,0.9944780617907588
Oregon,No,Premium,Bachelor,Employed,M,36692,Suburban,Married,109,1,6,1,1,Personal Auto,Personal L3,Offer2,Call Center,523.2,Four-Door Car,Medsize,0,No,0.006919350851252046
Oregon,No,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,119,0,37,0,1,Personal Auto,Personal L3,Offer2,Agent,571.2,SUV,Medsize,0,No,0.008211921148054984
California,Yes,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Offer1,Agent,513.6,SUV,Medsize,1,Yes,0.9947088291633231
Nevada,Yes,Premium,College,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Corporate Auto,Corporate L3,Offer1,Branch,504.0,Four-Door Car,Large,0,No,0.00824523134769118
Oregon,No,Extended,College,Unemployed,M,0,Suburban,Single,135,8,14,0,1,Personal Auto,Personal L3,Offer1,Agent,972.0,SUV,Medsize,0,No,0.08114383814661623
California,No,Basic,High School or Below,Employed,F,44624,Rural,Married,71,10,79,1,2,Special Auto,Special L3,Offer4,Web,73.883044,Four-Door Car,Medsize,1,Yes,0.9943179769827832
Arizona,No,Basic,College,Unemployed,F,0,Suburban,Single,71,1,23,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,340.8,Four-Door Car,Medsize,1,Yes,0.9912769384710898
Nevada,Yes,Extended,Master,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal Auto,Personal L2,Offer2,Agent,574.024018,Two-Door Car,Medsize,1,Yes,0.9961874646890432
Oregon,No,Basic,College,Unemployed,F,0,Suburban,Single,64,31,53,0,1,Personal Auto,Personal L1,Offer3,Branch,632.715382,Four-Door Car,Medsize,0,No,0.0054657257769617894
