location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,probability_high_value,Campaign_A
California,No,Basic,High School or Below,Employed,F,22881,Suburban,Single,65,20,10,0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Medsize,0,0.0,No
California,Yes,Basic,Bachelor,Unemployed,M,0,Suburban,Married,101,1,83,4,1,Personal Auto,Personal L1,Offer1,Agent,960.115399,SUV,Large,0,0.0,No
Nevada,No,Basic,Bachelor,Employed,M,63800,Suburban,Married,113,9,43,0,4,Personal Auto,Personal L3,Offer1,Branch,542.4,SUV,Medsize,1,0.5148818533742764,Yes
California,No,Basic,Bachelor,Employed,F,41082,Rural,Married,63,23,94,0,2,Personal Auto,Personal L2,Offer3,Web,106.647493,Two-Door Car,Medsize,1,0.5108209633823528,Yes
Arizona,No,Extended,Master,Employed,F,43922,Rural,Married,88,26,88,0,2,Personal Auto,Personal L3,Offer2,Web,108.701381,Four-Door Car,Medsize,1,0.5153834438744141,Yes
California,No,Basic,Bachelor,Employed,F,47285,Suburban,Married,63,7,3,0,1,Personal Auto,Personal L3,Offer4,Call Center,302.4,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,High School or Below,Employed,F,87428,Urban,Divorced,72,27,42,0,1,Personal Auto,Personal L3,Offer2,Agent,224.483337,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Employed,M,48207,Urban,Married,63,28,85,2,8,Personal Auto,Personal L1,Offer3,Branch,164.974886,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Employed,M,53021,Suburban,Married,68,28,71,4,1,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Medsize,0,0.0,No
California,Yes,Basic,College,Employed,F,75648,Rural,Married,108,28,10,0,1,Corporate Auto,Corporate L3,Offer2,Branch,112.660916,SUV,Large,0,0.0,No
Oregon,No,Basic,High School or Below,Disabled,F,15850,Suburban,Married,61,28,14,0,2,Corporate Auto,Corporate L3,Offer4,Call Center,314.528138,Two-Door Car,Medsize,1,0.5084006316986774,Yes
California,No,Basic,Bachelor,Employed,F,30205,Suburban,Single,195,24,1,0,4,Personal Auto,Personal L3,Offer1,Agent,1329.957905,Luxury SUV,Large,1,0.5150426101814641,Yes
Oregon,No,Extended,College,Employed,F,35773,Suburban,Married,93,25,89,0,2,Personal Auto,Personal L3,Offer1,Web,446.4,Four-Door Car,Small,1,0.5158704201936679,Yes
Arizona,No,Extended,College,Employed,F,78358,Suburban,Married,128,6,75,0,3,Corporate Auto,Corporate L1,Offer3,Agent,614.4,SUV,Medsize,1,0.5171542849525492,Yes
Arizona,No,Basic,High School or Below,Employed,F,73102,Rural,Married,66,35,46,0,4,Corporate Auto,Corporate L3,Offer2,Branch,117.928547,Four-Door Car,Small,1,0.5085448666209179,Yes
Washington,No,Extended,Bachelor,Employed,F,95815,Suburban,Married,82,6,95,0,3,Personal Auto,Personal L2,Offer3,Call Center,393.6,Four-Door Car,Small,1,0.515741601502694,Yes
Oregon,No,Basic,College,Unemployed,F,0,Suburban,Single,71,5,20,0,5,Corporate Auto,Corporate L2,Offer1,Call Center,859.5994109999997,Four-Door Car,Small,1,0.0,Yes
Arizona,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,86,18,41,0,1,Personal Auto,Personal L3,Offer1,Web,569.1304230000002,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,High School or Below,Disabled,M,14533,Suburban,Single,63,4,20,0,2,Personal Auto,Personal L3,Offer1,Branch,302.4,Four-Door Car,Medsize,1,0.50814684496594,Yes
California,No,Basic,High School or Below,Employed,F,69674,Suburban,Married,62,14,18,1,2,Personal Auto,Personal L1,Offer3,Branch,297.6,Two-Door Car,Medsize,1,0.5101065493952556,Yes
Arizona,No,Premium,Bachelor,Employed,M,99368,Rural,Married,113,34,6,0,3,Personal Auto,Personal L3,Offer1,Web,82.427785,Four-Door Car,Medsize,1,0.5155247793833007,Yes
California,No,Basic,Master,Disabled,F,26924,Urban,Married,73,12,80,0,1,Personal Auto,Personal L2,Offer1,Call Center,262.086021,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,66,5,40,3,1,Personal Auto,Personal L3,Offer3,Call Center,475.2,Two-Door Car,Large,0,0.0,No
California,No,Extended,High School or Below,Unemployed,M,0,Suburban,Divorced,89,6,49,1,3,Personal Auto,Personal L3,Offer2,Agent,640.8,Four-Door Car,Medsize,1,0.5138129870598118,Yes
Washington,No,Basic,High School or Below,Employed,M,26841,Suburban,Married,74,33,17,1,1,Personal Auto,Personal L3,Offer3,Agent,418.534381,Four-Door Car,Medsize,0,0.0,No
California,No,Premium,College,Unemployed,M,0,Suburban,Married,118,30,52,0,7,Personal Auto,Personal L2,Offer1,Web,566.4,Four-Door Car,Medsize,1,0.5151541692792566,Yes
California,No,Basic,Bachelor,Disabled,M,15776,Suburban,Married,69,20,59,0,1,Personal Auto,Personal L2,Offer2,Call Center,337.596914,Two-Door Car,Medsize,0,0.0,No
Nevada,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,64,35,75,1,7,Personal Auto,Personal L1,Offer3,Call Center,774.737185,Two-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,32,59,0,2,Personal Auto,Personal L1,Offer1,Agent,385.115437,Four-Door Car,Small,1,0.5093149141993084,Yes
Oregon,No,Extended,College,Employed,F,26884,Urban,Married,89,11,84,0,1,Special Auto,Special L2,Offer4,Call Center,238.132215,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,Bachelor,Disabled,F,25163,Suburban,Married,67,32,18,0,1,Corporate Auto,Corporate L2,Offer2,Branch,321.6,Two-Door Car,Small,0,0.0,No
California,No,Extended,High School or Below,Employed,F,23235,Suburban,Married,99,28,71,0,4,Personal Auto,Personal L3,Offer2,Call Center,587.656629,Four-Door Car,Medsize,1,0.5151381262163018,Yes
California,No,Basic,Bachelor,Employed,M,42837,Urban,Married,106,15,39,0,1,Personal Auto,Personal L3,Offer1,Agent,290.5805430000001,SUV,Medsize,0,0.0,No
Oregon,No,Basic,College,Employed,M,55437,Suburban,Married,64,5,78,1,2,Personal Auto,Personal L3,Offer3,Agent,445.287788,Four-Door Car,Medsize,1,0.5144908739326208,Yes
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Single,67,6,60,1,1,Personal Auto,Personal L2,Offer4,Branch,321.6,Four-Door Car,Large,0,0.0,No
Arizona,No,Extended,High School or Below,Medical Leave,M,13512,Suburban,Single,92,14,24,0,1,Personal Auto,Personal L3,Offer4,Call Center,441.6,Two-Door Car,Medsize,0,0.0,No
California,No,Basic,High School or Below,Employed,F,33451,Suburban,Married,67,0,1,0,1,Personal Auto,Personal L2,Offer2,Agent,337.219884,Four-Door Car,Medsize,0,0.0,No
California,No,Extended,College,Employed,F,76456,Rural,Single,83,27,34,1,2,Personal Auto,Personal L3,Offer4,Web,42.693918,Four-Door Car,Medsize,1,0.5147802927704872,Yes
Oregon,No,Premium,High School or Below,Employed,F,24193,Urban,Married,185,26,79,0,2,Personal Auto,Personal L3,Offer1,Branch,785.367947,Sports Car,Medsize,1,0.5175225189713718,Yes
California,No,Basic,College,Unemployed,M,0,Suburban,Single,104,29,4,0,3,Personal Auto,Personal L3,Offer3,Call Center,748.8,SUV,Small,1,0.5131678881052159,Yes
Arizona,No,Extended,High School or Below,Employed,F,21246,Suburban,Married,83,19,51,0,1,Personal Auto,Personal L1,Offer1,Agent,398.4,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Extended,College,Employed,M,61783,Suburban,Married,94,17,20,0,6,Personal Auto,Personal L2,Offer2,Branch,658.1258740000002,Four-Door Car,Small,1,0.5131214250356192,Yes
Nevada,No,Basic,Bachelor,Employed,M,43626,Suburban,Divorced,67,9,80,0,1,Personal Auto,Personal L3,Offer4,Call Center,321.6,Two-Door Car,Small,0,0.0,No
California,No,Basic,College,Employed,M,32555,Rural,Married,68,32,72,0,2,Personal Auto,Personal L1,Offer3,Call Center,86.912677,Two-Door Car,Medsize,1,0.5148507856012372,Yes
California,No,Extended,College,Employed,M,56225,Suburban,Divorced,97,10,95,0,3,Personal Auto,Personal L2,Offer1,Agent,465.6,Four-Door Car,Small,1,0.5159126618576404,Yes
Washington,No,Extended,Bachelor,Medical Leave,F,21665,Suburban,Divorced,136,0,25,0,1,Corporate Auto,Corporate L2,Offer1,Branch,765.709629,SUV,Medsize,1,0.0,Yes
Oregon,Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,1,0.513953594734176,Yes
Oregon,No,Basic,High School or Below,Employed,F,33397,Suburban,Married,106,31,15,0,5,Personal Auto,Personal L3,Offer4,Call Center,508.8,SUV,Medsize,1,0.5128466291847759,Yes
Arizona,No,Basic,Bachelor,Employed,F,62566,Rural,Married,65,4,3,1,1,Corporate Auto,Corporate L1,Offer3,Branch,48.344273,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,College,Disabled,F,12062,Suburban,Single,63,3,42,0,2,Corporate Auto,Corporate L1,Offer4,Web,302.4,Four-Door Car,Medsize,1,0.5073925628711429,Yes
California,Yes,Basic,Bachelor,Employed,F,35625,Urban,Married,65,10,56,1,3,Personal Auto,Personal L2,Offer2,Agent,288.572108,Four-Door Car,Medsize,1,0.4636021879376064,Yes
Arizona,No,Basic,Master,Employed,M,87798,Urban,Married,71,18,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,204.448708,Two-Door Car,Medsize,0,0.0,No
Arizona,No,Basic,High School or Below,Employed,F,33882,Rural,Married,114,22,39,0,6,Personal Auto,Personal L2,Offer3,Branch,272.835064,SUV,Medsize,1,0.5111170495761265,Yes
California,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,125,10,43,0,9,Personal Auto,Personal L3,Offer1,Branch,615.5621639999998,SUV,Small,1,0.5098910008548516,Yes
California,No,Premium,Bachelor,Unemployed,M,0,Suburban,Single,112,25,69,0,2,Personal Auto,Personal L2,Offer3,Agent,806.4,Two-Door Car,Small,1,0.5154125368200796,Yes
Nevada,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,112,6,0,0,1,Corporate Auto,Corporate L1,Offer1,Call Center,587.861936,Sports Car,Medsize,0,0.0,No
Nevada,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,74,32,62,0,3,Corporate Auto,Corporate L3,Offer1,Agent,532.8,Four-Door Car,Medsize,1,0.4089453180444229,Yes
Oregon,No,Basic,College,Employed,F,99159,Suburban,Married,190,7,14,0,5,Personal Auto,Personal L3,Offer2,Branch,912.0,Luxury SUV,Large,1,0.5154518204946752,Yes
California,Yes,Extended,Bachelor,Employed,F,48567,Suburban,Single,130,12,15,0,1,Personal Auto,Personal L3,Offer2,Agent,624.0,SUV,Medsize,1,0.4700187202153824,Yes
California,Yes,Basic,High School or Below,Retired,M,27972,Suburban,Married,61,7,38,0,1,Personal Auto,Personal L3,Offer3,Web,292.8,Four-Door Car,Medsize,0,0.0,No
Nevada,No,Premium,High School or Below,Unemployed,M,0,Suburban,Married,141,7,32,0,1,Corporate Auto,Corporate L2,Offer4,Web,676.8,SUV,Medsize,1,0.3434872828990593,Yes
California,No,Basic,High School or Below,Employed,M,29465,Suburban,Married,63,6,9,0,1,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Extended,College,Employed,M,28095,Suburban,Married,82,18,2,0,8,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Medsize,1,0.5143349161764844,Yes
Arizona,No,Basic,Bachelor,Retired,M,26121,Suburban,Single,119,12,51,0,2,Personal Auto,Personal L2,Offer1,Call Center,754.1154740000003,SUV,Medsize,1,0.5158577531432732,Yes
Washington,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,14,1,4,1,Personal Auto,Personal L1,Offer1,Web,801.0223679999997,Four-Door Car,Large,0,0.0,No
Oregon,No,Extended,College,Unemployed,F,0,Suburban,Single,93,9,35,0,1,Personal Auto,Personal L2,Offer4,Branch,549.1010269999998,Two-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,College,Employed,M,92783,Rural,Married,61,1,47,0,6,Personal Auto,Personal L1,Offer2,Agent,6.671268,Two-Door Car,Medsize,0,0.0,No
Oregon,No,Extended,Bachelor,Unemployed,F,0,Rural,Married,82,14,27,2,2,Personal Auto,Personal L3,Offer3,Agent,146.75708600000004,Four-Door Car,Large,1,0.5125122153665914,Yes
Oregon,Yes,Basic,Master,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Personal Auto,Personal L1,Offer2,Branch,547.2,SUV,Medsize,0,0.0,No
California,No,Basic,Bachelor,Employed,F,50909,Urban,Married,112,11,39,0,1,Personal Auto,Personal L3,Offer2,Branch,339.048157,SUV,Medsize,0,0.0,No
Oregon,No,Extended,Master,Employed,M,74243,Rural,Married,84,34,2,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,71.311211,Four-Door Car,Medsize,1,0.5153796017533622,Yes
Oregon,No,Extended,Bachelor,Employed,M,58109,Suburban,Divorced,86,9,6,0,1,Corporate Auto,Corporate L3,Offer2,Branch,412.8,Two-Door Car,Medsize,0,0.0,No
Oregon,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,82,15,20,0,2,Personal Auto,Personal L2,Offer2,Branch,590.4,Four-Door Car,Medsize,1,0.5145745489044086,Yes
California,No,Basic,Bachelor,Employed,F,55005,Suburban,Divorced,70,31,39,1,1,Personal Auto,Personal L2,Offer4,Call Center,336.0,Four-Door Car,Medsize,0,0.0,No
Washington,No,Basic,Bachelor,Employed,M,68041,Urban,Single,64,10,47,0,1,Personal Auto,Personal L2,Offer4,Branch,165.570243,Two-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,College,Medical Leave,M,10334,Urban,Married,64,5,80,0,2,Personal Auto,Personal L1,Offer3,Agent,296.962938,Four-Door Car,Medsize,1,0.5082373468769338,Yes
Arizona,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,26,62,0,3,Personal Auto,Personal L2,Offer1,Branch,297.6,Two-Door Car,Small,0,0.0,No
Oregon,Yes,Basic,High School or Below,Medical Leave,M,17101,Suburban,Single,113,1,88,0,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,SUV,Medsize,1,0.5158619976920382,Yes
Arizona,No,Extended,Bachelor,Employed,M,85058,Urban,Married,137,34,82,0,2,Personal Auto,Personal L1,Offer1,Call Center,595.369784,SUV,Medsize,1,0.5175238788210182,Yes
Nevada,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,13,49,0,7,Personal Auto,Personal L3,Offer1,Agent,302.4,Four-Door Car,Small,0,0.0,No
Oregon,Yes,Basic,High School or Below,Employed,F,52583,Urban,Single,113,12,59,0,7,Special Auto,Special L2,Offer1,Agent,528.2008599999998,SUV,Small,1,0.5153270323333661,Yes
Oregon,No,Basic,Bachelor,Employed,M,69387,Rural,Married,71,16,37,0,3,Personal Auto,Personal L3,Offer2,Agent,71.517444,Four-Door Car,Small,1,0.5117165041953964,Yes
California,No,Basic,College,Employed,F,61883,Rural,Divorced,62,11,62,0,1,Personal Auto,Personal L1,Offer4,Web,18.077998,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,College,Employed,M,52679,Rural,Married,62,21,3,0,4,Personal Auto,Personal L3,Offer2,Agent,117.998498,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize,1,0.5038771871741364,Yes
California,No,Basic,High School or Below,Employed,F,73836,Urban,Married,182,8,35,3,1,Personal Auto,Personal L3,Offer1,Branch,553.385695,Luxury Car,Medsize,1,0.5075354098889584,Yes
Washington,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,1,0.5100505048762088,Yes
Oregon,Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,66,16,35,4,1,Special Auto,Special L2,Offer1,Branch,316.8,Four-Door Car,Small,0,0.0,No
Oregon,Yes,Basic,College,Medical Leave,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L2,Offer1,Web,362.77454500000016,Two-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Employed,F,70432,Rural,Married,61,16,49,3,4,Personal Auto,Personal L2,Offer4,Web,6.422285,Four-Door Car,Medsize,0,0.0,No
California,Yes,Basic,College,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,1,0.5125298579898908,Yes
Oregon,Yes,Basic,High School or Below,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,1,0.5114675535627624,Yes
Nevada,No,Basic,High School or Below,Employed,F,69186,Urban,Single,69,24,16,0,3,Personal Auto,Personal L3,Offer2,Agent,192.591072,Four-Door Car,Small,1,0.5038071706618914,Yes
Oregon,No,Premium,College,Employed,F,45257,Suburban,Married,103,33,90,0,4,Corporate Auto,Corporate L1,Offer3,Call Center,494.4,Two-Door Car,Medsize,1,0.5151459804193952,Yes
California,No,Basic,College,Employed,F,72335,Suburban,Single,69,23,35,0,1,Personal Auto,Personal L1,Offer2,Web,331.2,Four-Door Car,Medsize,0,0.0,No
California,No,Extended,Bachelor,Employed,F,41449,Rural,Married,89,15,45,0,5,Personal Auto,Personal L2,Offer4,Branch,63.516572,Four-Door Car,Medsize,1,0.5133271992738488,Yes
Oregon,Yes,Extended,College,Employed,F,35482,Suburban,Married,129,21,59,0,3,Personal Auto,Personal L3,Offer1,Branch,619.2,SUV,Medsize,1,0.5167922396310988,Yes
Arizona,No,Basic,Bachelor,Employed,F,33651,Urban,Married,69,21,37,1,2,Personal Auto,Personal L2,Offer1,Call Center,328.65413,Four-Door Car,Medsize,1,0.5153523916168066,Yes
Oregon,No,Basic,Bachelor,Employed,F,79867,Rural,Divorced,74,25,76,1,1,Personal Auto,Personal L2,Offer1,Branch,78.172321,Four-Door Car,Small,0,0.0,No
California,No,Basic,Bachelor,Employed,F,26225,Urban,Married,72,18,25,1,7,Special Auto,Special L2,Offer2,Web,320.777404,Four-Door Car,Medsize,1,0.5048494336503232,Yes
Nevada,No,Extended,High School or Below,Disabled,M,24561,Suburban,Married,126,1,31,0,2,Personal Auto,Personal L1,Offer2,Branch,853.4735519999997,SUV,Small,1,0.5159323641484038,Yes
California,No,Basic,College,Disabled,F,20181,Suburban,Married,66,8,66,2,3,Personal Auto,Personal L2,Offer1,Agent,316.8,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,Bachelor,Employed,F,50217,Suburban,Married,74,18,2,0,9,Personal Auto,Personal L1,Offer2,Web,355.2,Two-Door Car,Medsize,1,0.5041309433301846,Yes
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Single,69,34,13,1,1,Personal Auto,Personal L3,Offer4,Call Center,624.9807509999998,Two-Door Car,Small,0,0.0,No
Arizona,Yes,Basic,Bachelor,Employed,F,39854,Urban,Divorced,66,6,4,0,7,Personal Auto,Personal L2,Offer2,Web,261.930545,Two-Door Car,Medsize,1,0.5042002813857722,Yes
Oregon,No,Basic,High School or Below,Employed,M,53252,Suburban,Married,117,1,76,0,1,Personal Auto,Personal L3,Offer2,Web,561.6,SUV,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Employed,M,23105,Suburban,Married,69,15,21,0,3,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,Small,1,0.5050983879266779,Yes
Arizona,Yes,Extended,High School or Below,Disabled,F,22081,Suburban,Married,84,1,9,0,6,Personal Auto,Personal L1,Offer1,Agent,451.670309,Two-Door Car,Small,1,0.5136452855711686,Yes
Nevada,No,Premium,College,Employed,F,52423,Suburban,Single,119,2,80,1,2,Corporate Auto,Corporate L1,Offer1,Web,571.2,Four-Door Car,Medsize,1,0.5158586396197876,Yes
Arizona,No,Basic,Doctor,Employed,F,25581,Urban,Married,105,9,21,0,1,Personal Auto,Personal L3,Offer2,Branch,429.695284,SUV,Medsize,0,0.0,No
Oregon,No,Basic,Bachelor,Unemployed,M,0,Suburban,Divorced,72,28,64,0,1,Personal Auto,Personal L3,Offer4,Web,345.6,Two-Door Car,Medsize,0,0.0,No
California,Yes,Basic,Master,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,Medsize,1,0.5091180433974446,Yes
Oregon,No,Basic,Bachelor,Disabled,F,19096,Suburban,Divorced,64,17,5,0,3,Personal Auto,Personal L3,Offer1,Web,374.8996,Two-Door Car,Medsize,0,0.0,No
Washington,Yes,Basic,College,Employed,M,50825,Urban,Married,102,3,46,0,3,Personal Auto,Personal L2,Offer1,Agent,369.614729,SUV,Medsize,1,0.5153965967036747,Yes
Oregon,No,Basic,Bachelor,Employed,M,41596,Suburban,Married,66,12,12,0,5,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,1,0.4997218502150944,Yes
Washington,Yes,Basic,High School or Below,Medical Leave,F,25965,Suburban,Divorced,65,23,27,0,1,Personal Auto,Personal L3,Offer1,Agent,329.206567,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,College,Employed,M,74212,Urban,Married,73,16,26,0,1,Personal Auto,Personal L2,Offer2,Call Center,188.878749,Four-Door Car,Small,0,0.0,No
California,No,Extended,College,Unemployed,M,0,Suburban,Single,90,19,91,0,1,Personal Auto,Personal L3,Offer1,Call Center,659.435886,Four-Door Car,Medsize,0,0.0,No
Washington,No,Extended,Bachelor,Disabled,M,21156,Rural,Divorced,89,2,32,0,8,Personal Auto,Personal L2,Offer1,Web,111.836561,Two-Door Car,Medsize,1,0.5136883961495168,Yes
California,No,Premium,High School or Below,Unemployed,F,0,Suburban,Single,168,11,46,0,1,Personal Auto,Personal L3,Offer1,Agent,1476.670903,SUV,Medsize,1,0.5053012380740612,Yes
Washington,No,Premium,High School or Below,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Corporate L3,Offer3,Agent,806.4,SUV,Medsize,1,0.514220589170561,Yes
Washington,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,85,4,18,0,2,Personal Auto,Personal L2,Offer1,Branch,877.034575,Four-Door Car,Medsize,1,0.5157457370032682,Yes
California,No,Extended,College,Employed,F,87473,Urban,Divorced,95,28,7,0,8,Personal Auto,Personal L3,Offer2,Web,448.061777,Four-Door Car,Medsize,1,0.5147222504441819,Yes
California,Yes,Extended,High School or Below,Disabled,F,22081,Suburban,Married,84,1,9,0,6,Personal Auto,Personal L2,Offer1,Agent,451.670309,Two-Door Car,Small,1,0.5136452855711686,Yes
Arizona,No,Basic,High School or Below,Disabled,F,24395,Suburban,Married,62,35,99,0,3,Personal Auto,Personal L2,Offer1,Branch,357.109603,Two-Door Car,Medsize,0,0.0,No
Nevada,No,Extended,College,Employed,F,93087,Suburban,Married,131,14,25,3,1,Corporate Auto,Corporate L3,Offer1,Agent,628.8,Sports Car,Medsize,1,0.4992644669112638,Yes
Arizona,No,Basic,Doctor,Employed,M,59601,Suburban,Married,67,28,2,0,6,Personal Auto,Personal L3,Offer4,Branch,321.6,Four-Door Car,Medsize,1,0.5082384424376872,Yes
Arizona,No,Extended,Bachelor,Employed,M,26436,Suburban,Divorced,83,0,10,0,5,Personal Auto,Personal L3,Offer2,Branch,398.4,Two-Door Car,Small,1,0.5123189047738246,Yes
California,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,68,0,45,0,1,Personal Auto,Personal L2,Offer2,Web,489.6,Four-Door Car,Medsize,0,0.0,No
California,Yes,Basic,High School or Below,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Personal Auto,Personal L2,Offer2,Call Center,480.0,SUV,Medsize,1,0.5156028346706004,Yes
California,No,Extended,Bachelor,Employed,M,39754,Rural,Married,85,2,35,0,1,Personal Auto,Personal L2,Offer2,Agent,62.282034,Four-Door Car,Medsize,0,0.0,No
Arizona,No,Basic,Bachelor,Employed,F,34133,Rural,Divorced,111,0,72,0,7,Personal Auto,Personal L1,Offer1,Call Center,226.9684,SUV,Small,1,0.513287043689341,Yes
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Married,69,7,68,0,1,Corporate Auto,Corporate L3,Offer2,Branch,331.2,Two-Door Car,Medsize,0,0.0,No
Washington,No,Extended,Bachelor,Employed,M,70930,Rural,Divorced,99,2,21,0,2,Personal Auto,Personal L1,Offer1,Agent,190.43446,Four-Door Car,Medsize,1,0.5158704201936679,Yes
Washington,Yes,Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Offer1,Agent,331.2,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Employed,F,39841,Suburban,Single,72,9,40,0,5,Personal Auto,Personal L3,Offer1,Agent,440.128707,Two-Door Car,Small,1,0.5002755870444208,Yes
California,No,Premium,High School or Below,Employed,M,87094,Rural,Single,113,20,17,1,5,Personal Auto,Personal L2,Offer3,Agent,64.894362,Four-Door Car,Medsize,1,0.5123566103539549,Yes
Oregon,No,Basic,High School or Below,Employed,M,74935,Rural,Married,112,15,62,0,1,Corporate Auto,Corporate L3,Offer2,Branch,192.859737,SUV,Medsize,0,0.0,No
Oregon,No,Basic,College,Employed,F,66524,Urban,Married,74,15,8,4,1,Personal Auto,Personal L3,Offer4,Agent,238.517525,Two-Door Car,Medsize,0,0.0,No
California,Yes,Premium,High School or Below,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize,1,0.5140693277515448,Yes
Oregon,No,Basic,Master,Employed,F,79041,Rural,Married,199,14,48,0,3,Personal Auto,Personal L3,Offer2,Branch,419.26062,Luxury SUV,Small,1,0.5158510904510496,Yes
Arizona,No,Extended,Bachelor,Employed,F,51721,Urban,Married,139,18,98,0,1,Personal Auto,Personal L2,Offer2,Agent,625.282599,SUV,Medsize,1,0.5056075458543294,Yes
California,No,Basic,Master,Unemployed,M,0,Urban,Single,64,35,59,0,1,Corporate Auto,Corporate L3,Offer3,Agent,286.124652,Four-Door Car,Medsize,0,0.0,No
Washington,No,Extended,Master,Unemployed,F,0,Suburban,Married,77,15,89,0,1,Personal Auto,Personal L3,Offer2,Web,491.66348,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,College,Unemployed,F,0,Suburban,Single,63,13,48,0,1,Corporate Auto,Corporate L2,Offer3,Web,732.638975,Four-Door Car,Large,0,0.0,No
California,No,Extended,High School or Below,Employed,F,38874,Urban,Divorced,94,6,86,0,3,Corporate Auto,Corporate L1,Offer2,Branch,331.170924,Four-Door Car,Medsize,1,0.5158908492164123,Yes
Oregon,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,68,4,17,0,9,Personal Auto,Personal L3,Offer1,Agent,444.030724,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,72,30,69,5,1,Personal Auto,Personal L2,Offer3,Web,518.4,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,66,31,54,1,2,Personal Auto,Personal L3,Offer3,Call Center,393.645615,Four-Door Car,Medsize,1,0.5108062829438876,Yes
